lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, 25_asuLevel, 25_cqi, 25_dbm, 25_level, 25_rsrp, 25_rsrq, 25_rssnr, timestamp, label
24.7894147,120.9950752,10.012999534606934,340.4637756347656,0.0,57.239998,48.539997,13.259999,-63.54444,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894147,120.9950752,10.012999534606934,340.4637756347656,0.0,61.32,43.92,4.08,-59.9384,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894147,120.9950752,10.012999534606934,340.4637756347656,0.0,73.56,28.5,-8.76,41.011494,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894312,120.9950688,10.11400032043457,336.7425842285156,0.0,75.18,34.62,-6.72,-53.07148,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894312,120.9950688,10.11400032043457,336.7425842285156,0.0,59.879997,46.44,8.639999,-50.575024,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894312,120.9950688,10.11400032043457,336.7425842285156,0.0,69.0,32.34,-5.7599998,-68.507515,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894486,120.9950614,10.138999938964844,334.0138854980469,0.0,82.439995,20.039999,-11.34,35.13008,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894486,120.9950614,10.138999938964844,334.0138854980469,0.0,70.799995,36.36,-5.64,-73.071396,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894625,120.9950546,10.062999725341797,334.48455810546875,0.0,68.7,40.98,-2.58,-72.67104,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
24.7894625,120.9950546,10.062999725341797,334.48455810546875,0.0,75.96,25.859999,-10.0199995,-62.076603,33_47,33_9,33_-93,33_2,33_-93,33_-14,33_1,25_47,25_0,25_-93,25_2,25_-93,25_-12,25_0,181_47,181_0,181_-93,181_2,181_-93,181_-17,181_0,17,SIDEWALK
