lat, lon, acc, bear, bearAcc, magnetometer_x, magnetometer_y, magnetometer_z, heading, 33_asuLevel, 33_cqi, 33_dbm, 33_level, 33_rsrp, 33_rsrq, 33_rssnr, timestamp, label
24.7892968,120.9950538,12.942000389099121,359.99163818359375,0.0,15.599999,27.3,-33.84,59.997112,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
24.7893115,120.9950507,12.569999694824219,2.802150249481201,0.0,23.76,36.0,-8.04,-29.122595,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
24.7893115,120.9950507,12.569999694824219,2.802150249481201,0.0,27.0,32.219997,-6.42,-39.374012,25_52,25_0,25_-88,25_2,25_-88,25_-9,25_0,15,SIDEWALK
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,18.06,26.699999,-33.48,66.733604,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,22.439999,32.34,-22.199999,-16.528313,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893274,120.9950464,14.65999984741211,355.2679748535156,0.0,26.46,32.7,-1.14,-64.13829,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893432,120.9950399,14.048999786376953,350.3746337890625,0.0,24.96,30.0,-18.6,-26.552267,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893432,120.9950399,14.048999786376953,350.3746337890625,0.0,11.099999,25.08,-39.84,42.801407,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893643,120.9950318,13.397000312805176,342.7528381347656,0.0,21.42,35.64,-16.5,-8.00366,25_46,25_6,25_-94,25_2,25_-94,25_-13,25_-1,33_47,33_0,33_-93,33_2,33_-93,33_-10,33_0,181_41,181_0,181_-99,181_2,181_-99,181_-16,181_0,15,SIDEWALK
24.7893643,120.9950318,13.397000312805176,342.7528381347656,0.0,28.199999,27.3,2.3999999,-100.81352,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893643,120.9950318,13.397000312805176,342.7528381347656,0.0,22.56,25.68,-27.0,38.30724,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893821,120.9950234,9.956999778747559,337.9858703613281,0.0,11.82,24.0,-38.82,63.001064,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893821,120.9950234,9.956999778747559,337.9858703613281,0.0,26.46,31.619999,-9.48,-36.915466,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893821,120.9950234,9.956999778747559,337.9858703613281,0.0,30.48,19.14,-4.38,-59.826206,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
24.7893965,120.9950152,9.98799991607666,339.3008728027344,0.0,19.199999,24.18,-33.42,69.1189,25_49,25_2147483647,25_-91,25_2,25_-91,25_-15,25_4,15,SIDEWALK
