02_19_28 Location[fused 24.791966,121.009420 acc=16 et=+2m19s197ms] 24251
23_56_45 Location[fused 24.791837,121.008783 acc=6 et=+21h39m35s451ms alt=86.2 vel=0.0 bear=0.0] 20450
00_02_06 Location[fused 24.791783,121.008690 acc=6 et=+21h44m56s448ms alt=130.4 vel=0.0 bear=0.0] 20926
00_07_26 Location[fused 24.791783,121.008690 acc=6 et=+21h50m16s730ms alt=130.4 vel=0.0 bear=0.0] 20205
00_12_46 Location[fused 24.791783,121.008690 acc=6 et=+21h55m36s956ms alt=130.4 vel=0.0 bear=0.0] 20200
00_18_06 Location[fused 24.791783,121.008690 acc=6 et=+22h0m57s207ms alt=130.4 vel=0.0 bear=0.0] 20209
00_23_27 Location[fused 24.791783,121.008690 acc=6 et=+22h6m17s475ms alt=130.4 vel=0.0 bear=0.0] 20231
00_28_48 Location[fused 24.791627,121.009158 acc=6 et=+22h11m38s452ms alt=100.4 vel=0.7000222 bear=92.0] 20949
00_34_08 Location[fused 24.791627,121.009158 acc=6 et=+22h16m58s727ms alt=100.4 vel=0.7000222 bear=92.0] 20208
00_39_28 Location[fused 24.791627,121.009158 acc=6 et=+22h22m18s991ms alt=100.4 vel=0.7000222 bear=92.0] 20215
00_44_48 Location[fused 24.791627,121.009158 acc=6 et=+22h27m39s204ms alt=100.4 vel=0.7000222 bear=92.0] 20171
00_50_09 Location[fused 24.791627,121.009158 acc=6 et=+22h32m59s463ms alt=100.4 vel=0.7000222 bear=92.0] 20186
00_55_29 Location[fused 24.791627,121.009158 acc=6 et=+22h38m19s724ms alt=100.4 vel=0.7000222 bear=92.0] 20187
01_00_49 Location[fused 24.791627,121.009158 acc=6 et=+22h43m39s953ms alt=100.4 vel=0.7000222 bear=92.0] 20209
01_06_09 Location[fused 24.791627,121.009158 acc=6 et=+22h49m0s194ms alt=100.4 vel=0.7000222 bear=92.0] 20189
01_11_30 Location[fused 24.791627,121.009158 acc=6 et=+22h54m20s427ms alt=100.4 vel=0.7000222 bear=92.0] 20196
01_16_50 Location[fused 24.791627,121.009158 acc=6 et=+22h59m40s630ms alt=100.4 vel=0.7000222 bear=92.0] 20184
01_22_11 Location[fused 24.792027,121.009203 acc=5 et=+23h5m1s447ms alt=286.7 vel=0.0] 20735
01_27_31 Location[fused 24.792027,121.009203 acc=5 et=+23h10m21s659ms alt=286.7 vel=0.0] 20173
01_32_51 Location[fused 24.792027,121.009203 acc=5 et=+23h15m41s962ms alt=286.7 vel=0.0] 20223
01_38_11 Location[fused 24.792027,121.009203 acc=5 et=+23h21m2s209ms alt=286.7 vel=0.0] 20204
01_43_32 Location[fused 24.792027,121.009203 acc=5 et=+23h26m22s476ms alt=286.7 vel=0.0] 20212
01_48_52 Location[fused 24.792027,121.009203 acc=5 et=+23h31m42s653ms alt=286.7 vel=0.0] 20172
01_54_12 Location[fused 24.792027,121.009203 acc=5 et=+23h37m2s928ms alt=286.7 vel=0.0] 20205
01_59_32 Location[fused 24.792027,121.009203 acc=5 et=+23h42m23s180ms alt=286.7 vel=0.0] 20211
02_04_53 Location[fused 24.792378,121.006327 acc=9 et=+23h47m43s456ms alt=254.5 vel=0.0] 20229
02_10_15 Location[fused 24.792393,121.007720 acc=7 et=+23h53m5s447ms alt=207.3 vel=0.0] 21931
02_15_35 Location[fused 24.792393,121.007720 acc=7 et=+23h58m25s726ms alt=207.3 vel=0.0] 20222
02_20_55 Location[fused 24.792393,121.007720 acc=7 et=+1d0h3m45s998ms alt=207.3 vel=0.0] 20229
02_26_16 Location[fused 24.792830,121.008552 acc=6 et=+1d0h9m6s449ms alt=212.3 vel=0.0] 20431
02_31_36 Location[fused 24.792830,121.008552 acc=6 et=+1d0h14m26s732ms alt=212.3 vel=0.0] 20205
02_36_57 Location[fused 24.797660,121.002782 acc=11 et=+1d0h19m47s450ms alt=1187.9 vel=0.0] 20697
02_42_17 Location[fused 24.797660,121.002782 acc=11 et=+1d0h25m7s723ms alt=1187.9 vel=0.0] 20210
02_47_38 Location[fused 24.792217,121.009167 acc=5 et=+1d0h30m28s450ms alt=107.7 vel=0.0] 20691
02_52_59 Location[fused 24.792788,121.008983 acc=6 et=+1d0h35m49s448ms alt=157.3 vel=0.0 bear=0.0] 20928
02_58_20 Location[fused 24.792057,121.009150 acc=6 et=+1d0h41m10s453ms alt=143.2 vel=0.0] 20967
03_03_41 Location[fused 24.791967,121.009083 acc=6 et=+1d0h46m31s453ms alt=121.6 vel=0.0] 20924
03_09_02 Location[fused 24.792160,121.008867 acc=5 et=+1d0h51m52s455ms alt=100.9 vel=0.0] 20940
03_14_22 Location[fused 24.792160,121.008867 acc=5 et=+1d0h57m12s687ms alt=100.9 vel=0.0] 20176
03_19_47 Location[fused 24.792672,121.007685 acc=6 et=+1d1h2m37s495ms alt=184.0 vel=0.0] 24746
03_25_08 Location[fused 24.792172,121.008348 acc=5 et=+1d1h7m58s446ms alt=208.5 vel=0.0] 20916
03_30_28 Location[fused 24.792172,121.008348 acc=5 et=+1d1h13m18s687ms alt=208.5 vel=0.0] 20167
04_27_26 Location[fused 24.792022,121.008288 acc=9 et=+1d2h10m16s598ms alt=199.6 vel=0.0 bear=0.0] 3117877
06_17_09 Location[fused 24.792022,121.008288 acc=9 et=+1d3h59m59s654ms alt=199.6 vel=0.0 bear=0.0] 2682976
06_22_30 Location[fused 24.791438,121.008697 acc=7 et=+1d4h5m20s453ms alt=225.2 vel=0.5378847 bear=134.0] 20740
08_05_56 Location[fused 24.791438,121.008697 acc=7 et=+1d5h48m46s603ms alt=225.2 vel=0.5378847 bear=134.0] 2306080
